sample	group
TCGA-W5-AA30-01	TP53_wt
TCGA-W5-AA39-01	TP53_wt
TCGA-ZH-A8Y8-01	TP53_wt
TCGA-3X-AAV9-01	TP53_wt
TCGA-W5-AA31-01	TP53_wt
TCGA-ZH-A8Y5-01	TP53_wt
TCGA-W5-AA2Q-01	TP53_wt
TCGA-W5-AA2X-01	TP53_wt
TCGA-W5-AA2I-01	TP53_mut
TCGA-4G-AAZT-01	TP53_wt
TCGA-3X-AAVE-01	TP53_wt
TCGA-W5-AA33-01	TP53_wt
TCGA-ZH-A8Y4-01	TP53_wt
TCGA-W5-AA2O-01	TP53_mut
TCGA-YR-A95A-01	TP53_wt
TCGA-ZU-A8S4-01	TP53_wt
TCGA-W5-AA2U-01	TP53_wt
TCGA-W5-AA2R-01	TP53_wt
TCGA-W5-AA34-01	TP53_wt
TCGA-ZH-A8Y1-01	TP53_wt
TCGA-ZD-A8I3-01	TP53_wt
TCGA-3X-AAVC-01	TP53_mut
TCGA-4G-AAZO-01	TP53_wt
TCGA-WD-A7RX-01	TP53_wt
TCGA-3X-AAVB-01	TP53_mut
TCGA-W5-AA2H-01	TP53_wt
TCGA-W5-AA2T-01	TP53_wt
TCGA-W5-AA2G-01	TP53_wt
TCGA-ZH-A8Y2-01	TP53_wt
TCGA-W5-AA38-01	TP53_wt
TCGA-W5-AA36-01	TP53_wt
TCGA-3X-AAVA-01	TP53_wt
TCGA-W6-AA0S-01	TP53_wt
TCGA-ZH-A8Y6-01	TP53_wt
TCGA-W5-AA2W-01	TP53_wt
TCGA-W5-AA2Z-01	TP53_wt
