sample	group
TCGA-XK-AAIW-01	TP53_mut
TCGA-FC-A6HD-01	TP53_wt
TCGA-J4-A67Q-01	TP53_wt
TCGA-VP-A87H-01	TP53_wt
TCGA-KC-A4BR-01	TP53_wt
TCGA-XK-AAIR-01	TP53_wt
TCGA-XK-AAJT-01	TP53_wt
TCGA-FC-A66V-01	TP53_wt
TCGA-HC-7210-01	TP53_wt
TCGA-YL-A8SL-01	TP53_wt
TCGA-CH-5737-01	TP53_wt
TCGA-HC-7233-01	TP53_wt
TCGA-HC-A76W-01	TP53_wt
TCGA-TK-A8OK-01	TP53_wt
TCGA-ZG-A9KY-01	TP53_wt
TCGA-ZG-A9N3-01	TP53_wt
TCGA-ZG-A9NI-01	TP53_wt
TCGA-CH-5738-01	TP53_wt
TCGA-CH-5750-01	TP53_wt
TCGA-CH-5768-01	TP53_wt
TCGA-CH-5791-01	TP53_wt
TCGA-G9-6364-01	TP53_wt
TCGA-HC-7820-01	TP53_wt
TCGA-KK-A5A1-01	TP53_wt
TCGA-Y6-A9XI-01	TP53_wt
TCGA-ZG-A8QW-01	TP53_wt
TCGA-ZG-A9LB-01	TP53_mut
TCGA-ZG-A9LM-01	TP53_mut
TCGA-EJ-7218-01	TP53_wt
TCGA-EJ-7317-01	TP53_wt
TCGA-EJ-7782-01	TP53_mut
TCGA-EJ-A46G-01	TP53_wt
TCGA-G9-6365-01	TP53_wt
TCGA-J4-AATV-01	TP53_wt
TCGA-J9-A52D-01	TP53_wt
TCGA-VN-A943-01	TP53_wt
TCGA-ZG-A9L0-01	TP53_mut
TCGA-2A-A8VX-01	TP53_wt
TCGA-CH-5753-01	TP53_wt
TCGA-EJ-7328-01	TP53_wt
TCGA-EJ-7783-01	TP53_wt
TCGA-EJ-A6RA-01	TP53_wt
TCGA-FC-A4JI-01	TP53_wt
TCGA-HC-7749-01	TP53_wt
TCGA-HC-8257-01	TP53_wt
TCGA-HC-A6AS-01	TP53_wt
TCGA-KK-A8ID-01	TP53_wt
TCGA-M7-A721-01	TP53_wt
TCGA-VP-A879-01	TP53_wt
TCGA-VP-AA1N-01	TP53_wt
TCGA-WW-A8ZI-01	TP53_wt
TCGA-ZG-A9L2-01	TP53_wt
TCGA-2A-A8W3-01	TP53_wt
TCGA-CH-5788-01	TP53_wt
TCGA-EJ-5527-01	TP53_wt
TCGA-EJ-8474-01	TP53_wt
TCGA-HC-7078-01	TP53_wt
TCGA-KK-A6E4-01	TP53_wt
TCGA-KK-A6E6-01	TP53_wt
TCGA-KK-A8I8-01	TP53_wt
TCGA-KK-A8IA-01	TP53_wt
TCGA-YL-A8SA-01	TP53_wt
TCGA-YL-A8SH-01	TP53_wt
TCGA-YL-A8SI-01	TP53_wt
TCGA-ZG-A9MC-01	TP53_wt
TCGA-CH-5745-01	TP53_wt
TCGA-CH-5751-01	TP53_wt
TCGA-EJ-5495-01	TP53_wt
TCGA-EJ-7315-01	TP53_mut
TCGA-EJ-7330-01	TP53_wt
TCGA-FC-A8O0-01	TP53_wt
TCGA-G9-6348-01	TP53_wt
TCGA-G9-6373-01	TP53_wt
TCGA-G9-6379-01	TP53_wt
TCGA-H9-7775-01	TP53_wt
TCGA-HC-A632-01	TP53_mut
TCGA-HC-A8D1-01	TP53_wt
TCGA-J4-A67K-01	TP53_wt
TCGA-J4-A6G1-01	TP53_wt
TCGA-J4-A83J-01	TP53_wt
TCGA-KK-A6E8-01	TP53_wt
TCGA-KK-A7B2-01	TP53_wt
TCGA-V1-A9ZI-01	TP53_mut
TCGA-V1-A9ZK-01	TP53_wt
