coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.765625	term_survival_agg	status	True	True
0.98	0.98	0.0	0.0	0.0	49.0	0.0	1.0	49.0	50.0	0.859375	term_survival_agg	status	True	True
0.94	0.94	0.0	0.0	0.0	47.0	0.0	3.0	47.0	50.0	0.875	term_survival_agg	status	True	True
0.74	0.74	0.0	0.0	0.0	37.0	0.0	13.0	37.0	50.0	0.890625	term_survival_agg	status	True	True
0.64	0.64	0.0	0.0	0.0	32.0	0.0	18.0	32.0	50.0	0.90625	term_survival_agg	status	True	True
0.5	0.5	0.0	0.0	0.0	25.0	0.0	25.0	25.0	50.0	0.921875	term_survival_agg	status	True	True
0.44	0.44	0.0	0.0	0.0	22.0	0.0	28.0	22.0	50.0	0.9375	term_survival_agg	status	True	True
0.26	0.26	0.0	0.0	0.0	13.0	0.0	37.0	13.0	50.0	0.953125	term_survival_agg	status	True	True
0.14	0.14	0.0	0.0	0.0	7.0	0.0	43.0	7.0	50.0	0.96875	term_survival_agg	status	True	True
0.1	0.1	0.0	0.0	0.0	5.0	0.0	45.0	5.0	50.0	0.984375	term_survival_agg	status	True	True
0.06	0.06	0.0	0.0	0.0	3.0	0.0	47.0	3.0	50.0	1.0	term_survival_agg	status	True	True
