claim_id	decision	module_id	term_uid	term_id	term_name	direction	direction_source	stability	context_fit	evidence_strength	score_source	_join	term_label	evidence_strength_filled	utility_score	rank_global	module_utility_sum	module_rank	rank_in_module
c_309b577635f9	ABSTAIN	M7d7e92d830b5	fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	down	audit	1.0	0.0837595189745381	0.7885202043449252	-log10(qval)	HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE: HALLMARK_APICAL_SURFACE	0.7885202043449252	0.06604607301763542	1	0.06604607301763542	1	1
c_45f8d953bc02	PASS	Mc655fb76a1be	fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	down	audit	1.0	0.9772712700228527	0.018664324039434233	-log10(qval)	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE: HALLMARK_INFLAMMATORY_RESPONSE	0.018664324039434233	0.018240107658135954	2	0.018240107658135954	8	1
c_da5fd7b713c0	PASS	M029534977e54	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	down	audit	0.921875	0.9999773375063016	0.018664324039434233	-log10(qval)	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN: HALLMARK_UV_RESPONSE_DN	0.018664324039434233	0.01720578378904984	3	0.01720578378904984	9	1
c_3e9cb46ac1f2	PASS	M852823ef4bff	fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	up	audit	0.984375	0.9319814492165456	0.018664324039434233	-log10(qval)	HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING: HALLMARK_MTORC1_SIGNALING	0.018664324039434233	0.017123009958061017	4	0.017123009958061017	10	1
c_5db50990e92d	PASS	M849a4c0e7f2d	fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	down	audit	0.953125	0.9444401681946446	0.018664324039434233	-log10(qval)	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY: HALLMARK_ESTROGEN_RESPONSE_EARLY	0.018664324039434233	0.016801055897462492	5	0.016801055897462492	11	1
c_ba0bf933a576	PASS	M27669b8fa9e7	fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	down	audit	0.96875	0.9262797916546048	0.018664324039434233	-log10(qval)	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE: HALLMARK_ANDROGEN_RESPONSE	0.018664324039434233	0.016748124114414262	6	0.016748124114414262	12	1
c_7132ece5e87e	PASS	M0b67a17cb0b6	fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	down	audit	0.984375	0.8903350950203814	0.018664324039434233	-log10(qval)	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS: HALLMARK_E2F_TARGETS	0.018664324039434233	0.016357854237185544	7	0.040946785538220745	2	1
c_941d2f3967a9	PASS	M8ff555ff76b4	fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	down	audit	0.984375	0.8500476267796064	0.018664324039434233	-log10(qval)	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM: HALLMARK_BILE_ACID_METABOLISM	0.018664324039434233	0.015617664912117149	8	0.015617664912117149	13	1
c_71353c2d3baa	PASS	M210904edebae	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	down	audit	0.984375	0.8311171914934417	0.018664324039434233	-log10(qval)	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP: HALLMARK_UV_RESPONSE_UP	0.018664324039434233	0.015269861817765951	9	0.015269861817765951	14	1
c_3906e8d8f560	PASS	M0b67a17cb0b6	fgsea_msigdb_H_entrez:HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	down	audit	0.984375	0.8225302460161241	0.018664324039434233	-log10(qval)	HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT: HALLMARK_G2M_CHECKPOINT	0.018664324039434233	0.015112096496319867	10	0.040946785538220745	2	2
c_53616a95d82a	PASS	Mf1237f2d6d20	fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	down	audit	0.953125	0.8172538037645729	0.018664324039434233	-log10(qval)	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY: HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.018664324039434233	0.014538482480800832	11	0.014538482480800832	15	1
c_87844015517c	PASS	Mf4596493a738	fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	down	audit	0.953125	0.7901388035439019	0.018664324039434233	-log10(qval)	HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS: HALLMARK_GLYCOLYSIS	0.018664324039434233	0.014056121978030144	12	0.023684580509924832	5	1
c_715e2eaa872c	PASS	M94039d22fbff	fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	down	audit	0.984375	0.7559910125763791	0.018664324039434233	-log10(qval)	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE: HALLMARK_INTERFERON_GAMMA_RESPONSE	0.018664324039434233	0.013889591522912642	13	0.024356413231093485	4	1
c_0b9ccd4c801b	PASS	M0332a8692e9e	fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	up	audit	0.921875	0.7967995035327302	0.018664324039434233	-log10(qval)	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING: HALLMARK_HEDGEHOG_SIGNALING	0.018664324039434233	0.013709870680864324	14	0.013709870680864324	16	1
