pathway	NES	ES	padj	pval	leadingEdge
HALLMARK_ADIPOGENESIS	-0.960552986267957	-0.207052064994817	0.916704391127207	0.531400966183575	8780,7086,3952,1666,3977,2109,5236,6623,3033,4056,4706,1891,1580,7423,2879,1031,3459,8884,4698,1376,5209
HALLMARK_ALLOGRAFT_REJECTION	1.11215650849174	0.235276590787034	0.747693286668788	0.208955223880597	7124,3603,3586,5917,3717,3578,925,3111,11222,2213,6890,7163,6367,6775,926,4050,3937,8444,8664,6891,3689,5699,6170,1520,2268,355,6203,920,9450,7903,5551,3665,2147,940,717,6688,8807,7321,6347,567,4689
HALLMARK_ANDROGEN_RESPONSE	-1.12411123335968	-0.266685132693494	0.747693286668788	0.209354120267261	3998,2005,9871,3977,7520,11047,11099,3157,3005,8554,8848,1622,3685,354,3856,3156,9455,9053,2982,9510,658
HALLMARK_ANGIOGENESIS	-0.83708975054204	-0.234331476215578	0.916704391127207	0.756696428571429	5553,7422,3685,1281,3714,4487,894,4973,6696,6578
HALLMARK_APICAL_JUNCTION	-1.0511294470581	-0.221994768279678	0.835308056872038	0.334123222748815	58,6237,5871,7122,6714,3033,1432,2200,8517,4892,1364,10487,999,3675,8751,5335,7414,6810,4902,649,4597,8910,1366,9379,2962,6376,5522,1739,6850
HALLMARK_APICAL_SURFACE	0.671559127686422	0.205379952291585	0.937611408199644	0.937611408199644	5314,102,8406,2947
HALLMARK_APOPTOSIS	1.0864986385651	0.237007320286765	0.788255000492659	0.268006700167504	7124,3659,7818,6709,1017,7832,638,637,3669,6890,595,3489,1191,834,4313,8870,2934,2064,4170,1026,355,6574,633,5551,6304,1499,2147,6041,1611,7465,1676,10410,2107,8900,3482,10134,3552,969,10682
HALLMARK_BILE_ACID_METABOLISM	0.792099807253475	0.191609249619297	0.916704391127207	0.861702127659575	8412,5190,3422,10350,215,3295,5264,6820,8856,6310,216,5825,1581,5213,335,3418,8431,5824,6718,5193,9962,2232,9409,3283,2180
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-1.24528331979564	-0.315083247562996	0.714840714840715	0.136659436008677	2946,10654,2194,7108,5329,3157,2222,1891,4598,4597,2990,9415,928,5359,71,3156,10957
HALLMARK_COAGULATION	-0.890380652516236	-0.194536903905015	0.916704391127207	0.748251748251748	344,7018,4224,6271,3075,341,2200,3158,11202,2335,5340,649,1311,3273,928,2266,5155,3697,2783,1515,3920,4324,1675,1465,1638,5327,7057,7980,733,2534,732,8309,10411,5654,4973,4153
HALLMARK_COMPLEMENT	1.18636772425552	0.25665263535236	0.714840714840715	0.118965517241379	5580,2159,3717,3660,11216,3659,6283,2885,1604,1378,4057,760,1514,1191,5550,1380,8851,5531,7941,3937,834,2811,3303,462,5641,9732,5216,1519,712,1520,1512,308,3003,3665,2147,717,5265,2919,978,2152,2820,475,1847,3309,4179
HALLMARK_DNA_REPAIR	-1.0672978779418	-0.238397729967422	0.800100012501563	0.300469483568075	6749,3251,5437,2967,7508,11047,6827,5985,9978,1643,2071,5424,6834,2879,10714,9013,2962,10946,5429,4059,10309,3978,2067,6884,5982,6431,2073,2072
HALLMARK_E2F_TARGETS	-0.973018823369877	-0.207067243746525	0.916704391127207	0.517985611510791	6749,675,2935,4683,8914,898,5395,1027,4292,1434,1965,5424,1031,1163,3015,1029,10714,5591,6426,1164,5902,11004,5901,3978,6427,10248,10606,7153,3930,5982
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-1.18340330968987	-0.246303472619333	0.714840714840715	0.125	5817,2006,7422,3725,4015,333,5329,4907,3569,3678,2200,2201,627,5118,2335,4616,4148,3685,1281,649,1311,4256,10085,11010,7128,1296,3486,3624,8325,7424,5270,10516,59,7057,388,3398,7980,822,3576,10272,6535,2247,7456,5654,1293,4487,7049,1282,3918,6696
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.935967885496836	0.207712318924258	0.916704391127207	0.622641509433962	7466,3717,9620,3880,7031,4477,5029,10560,3487,10395,7357,595,5241,7739,3480,7033,596,1154,7071,8204,8140,6820,10514,8645,8416,6566,4886,4299,9145,7164,771,11098,1836,3705,9249,2717,6542,949,360,2444,10105,4137,10125,6387,7869,6990,8614,8165
HALLMARK_ESTROGEN_RESPONSE_LATE	0.898348793658191	0.195129290031232	0.916704391127207	0.714041095890411	7466,3717,9547,3880,7031,3547,11187,3487,3669,4057,760,595,5241,10497,7033,596,1154,10610,8204,10551,8140,9254,6820,429,8645,5121,8416,5265,6566,4886,4299,7164,8900,7538,771,11098,4192,1836,6446,3418,2707,3705,2717
HALLMARK_FATTY_ACID_METABOLISM	-1.08727301999247	-0.2386925137249	0.788255000492659	0.265882352941176	2954,1666,10455,4683,1962,1374,2194,3033,3157,2326,2271,4056,1891,218,3158,2752,3015,765,1429,1376,223,3032,4128,224,912
HALLMARK_G2M_CHECKPOINT	-0.992504135464379	-0.208394153638374	0.916704391127207	0.467980295566503	10293,10721,675,2935,1027,1950,4691,1432,5371,9462,602,10772,5976,7290,1058,9585,1031,1163,3015,9493,262,1869,6426,1164,10419,4957,11004,8454,3837,10036,7486,6427,5001,7153,546,3930,4212,7150,4928,5887
HALLMARK_GLYCOLYSIS	0.851045432744796	0.185461876823243	0.916704391127207	0.832764505119454	3425,5917,1365,638,2131,5704,3669,4190,5223,5315,8789,2729,4601,10327,2997,7033,9672,10461,229,3597,5318,8870,9435,10456,6383,4233,7852,3925,4351,5207,4200,1462,3309,7039,2998,5478,5256,11015,2530,5351,5516,8819,10370
HALLMARK_HEDGEHOG_SIGNALING	1.05447852960913	0.307654881634681	0.853387950162144	0.3584229390681	5727,9620,8861,1808,8851,2735,7088,4763,4983,6469
