claim_id	human_label	rater_id	label_version	condition	entity	direction	term_name	gene_symbols_str	module_id_effective	_src
c_2875af398278	SHOULD_ABSTAIN	R1	v1	BEATAML	HALLMARK_COMPLEMENT	up	HALLMARK_COMPLEMENT	PLAT;ZFPM2;PCSK9;CXCL1;CALM3;CD59;LGMN;MMP8;LTF;PCLO	M88fc41364801	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_8e844e5106a2	SHOULD_ABSTAIN	R1	v1	BEATAML	HALLMARK_ESTROGEN_RESPONSE_LATE	up	HALLMARK_ESTROGEN_RESPONSE_LATE	FARP1;STIL;NBL1;DHCR7;SLC16A1;ST14;GAL;OLFM1;HR;CKB	M9c70cf032c39	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_90d5c57c0bd3	ACCEPT	R1	v1	BEATAML	HALLMARK_APOPTOSIS	up	HALLMARK_APOPTOSIS	TIMP3;PTK2;PLAT;APP;WEE1;H1-0;BGN;BMP2;IFITM3;SOD1	Mf49fdc9ffbda	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_50a5934c6cd1	REJECT	R1	v1	BEATAML	HALLMARK_MYOGENESIS	up	HALLMARK_MYOGENESIS	SCD;PC;APP;CNN3;CKB;PFKM;ABLIM1;COL15A1;STC2;BIN1	M10c120fdec83	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_47ab4d8c7f5c	ACCEPT	R1	v1	BEATAML	HALLMARK_KRAS_SIGNALING_DN	up	HALLMARK_KRAS_SIGNALING_DN	FGF16;YBX2;SLC5A5;ABCB11;SPTBN2;PLAG1;EGF;TEX15;KRT1;BARD1	Mf56ed728631d	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_5df91a39807a	ACCEPT	R1	v1	BEATAML	HALLMARK_SPERMATOGENESIS	up	HALLMARK_SPERMATOGENESIS	JAM3;KIF2C;YBX2;SHE;CDKN3;TTK;IL12RB2;MLF1;PSMG1;NCAPH	Mbabc22af87c9	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_e2911daa664d	SHOULD_ABSTAIN	R1	v1	BEATAML	HALLMARK_UV_RESPONSE_UP	up	HALLMARK_UV_RESPONSE_UP	H2AX;WIZ;CHRNA5;GAL;OLFM1;BMP2;HSPA2;UROD;ABCB1;NUP58	M4958bde29b6c	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_98bc292b0cca	ACCEPT	R1	v1	BEATAML	HALLMARK_PI3K_AKT_MTOR_SIGNALING	up	HALLMARK_PI3K_AKT_MTOR_SIGNALING	PTPN11;PPP2R1B;TIAM1;CDK1;TRIB3;SLC2A1;CDK4;ACTR3;CDK2;EIF4E	Me9bf4742b516	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_6fe04c32a662	ACCEPT	R1	v1	BEATAML	HALLMARK_PROTEIN_SECRETION	up	HALLMARK_PROTEIN_SECRETION	SCRN1;SOD1;KIF1B;TPD52;STAM;ZW10;NAPA;ARFGEF1;SGMS1;GOLGA4	Mda6326f0d7bf	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_57c3badb424e	ACCEPT	R1	v1	BEATAML	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	HALLMARK_INTERFERON_GAMMA_RESPONSE	USP18;IL7;IFITM3;PTGS2;EPSTI1;SOCS3;PNP;CSF2RB;IFI44L;PIM1	M5ad8c232ffd3	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_455dba37be71	ACCEPT	R1	v1	BEATAML	HALLMARK_GLYCOLYSIS	up	HALLMARK_GLYCOLYSIS	COL5A1;PLOD2;PC;B3GNT3;CENPA;DEPDC1;ABCB6;SOD1;CDK1;STC2	M2fbb6d7ec279	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_a82594b21128	ACCEPT	R1	v1	BEATAML	HALLMARK_WNT_BETA_CATENIN_SIGNALING	up	HALLMARK_WNT_BETA_CATENIN_SIGNALING	SKP2;HEY1;GNAI1;PTCH1;JAG2;WNT5B;DLL1;MYC;CCND2;RBPJ	M76d2b450cd9b	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_9138ae157df8	ACCEPT	R1	v1	BEATAML	HALLMARK_G2M_CHECKPOINT	up	HALLMARK_G2M_CHECKPOINT	STIL;E2F2;HIRA;KIF2C;H2AX;POLE;MKI67;RAD21;CDKN3;TTK	M10c94544e295	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_cd057a97b9a0	ACCEPT	R1	v1	BEATAML	HALLMARK_IL6_JAK_STAT3_SIGNALING	up	HALLMARK_IL6_JAK_STAT3_SIGNALING	PTPN11;IL7;CXCL1;IL18R1;CSF1;SOCS3;CSF2RB;PIM1;IL6ST;IL1R1	M5ad8c232ffd3	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_1a89903f7256	REJECT	R1	v1	BEATAML	HALLMARK_APICAL_SURFACE	up	HALLMARK_APICAL_SURFACE	THY1;APP;PCSK9;SLC2A4;GATA3;HSPB1;RTN4RL1;GSTM3;LYPD3;AFAP1L2	M88cf93333440	/work/paper/source_data/BEATAML_TP53_v1/out/BEATAML/context_swap/gate_hard/tau_0.20/audit_log.tsv
