claim_id,human_label,rater_id,label_version,condition,entity,direction,term_name,gene_symbols_str,module_id_effective,_src
c_9da4a1e8752d,,R1,v1,HNSC,HALLMARK_P53_PATHWAY,up,HALLMARK_P53_PATHWAY,IRAG2;TCHH;PMM1;FGF13;HRAS;MXD1;CD82;TP63;HBEGF;ITGB4,Maf269dcd4575,/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_309b577635f9,,R1,v1,HNSC,HALLMARK_APICAL_SURFACE,down,HALLMARK_APICAL_SURFACE,PKHD1;AKAP7;MAL;SRPX;EFNA5;EPHB4;HSPB1;GSTM3;PLAUR;APP,M7d7e92d830b5,/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_12ba6a29e800,,R1,v1,HNSC,HALLMARK_ESTROGEN_RESPONSE_LATE,up,HALLMARK_ESTROGEN_RESPONSE_LATE,IGFBP4;HPRT1;FLNB;NBL1;RET;TPBG;SLC16A1;NHERF1;GLA;GJB3,M8e5c1d28573e,/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_40f168bf3a97,,R1,v1,HNSC,HALLMARK_FATTY_ACID_METABOLISM,down,HALLMARK_FATTY_ACID_METABOLISM,SLC22A5;CRAT;GPD1;HSP90AA1;ADH1C;ACAA2;H2AZ1;FASN;CBR1;ALDH1A1,M461f65de8e09,/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_b0e66db519e8,,R1,v1,HNSC,HALLMARK_PEROXISOME,up,HALLMARK_PEROXISOME,DLG4;HRAS;SIAH1;EPHX2;CRABP2;STS;HSD17B4;HSD11B2;PEX6;ABCC8,M316384fde50c,/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_f486da562f1b,,R1,v1,HNSC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,down,HALLMARK_PI3K_AKT_MTOR_SIGNALING,AP2M1;TSC2;MAPK1;IL4;GSK3B;MAP3K7;ATF1;LCK;NFKBIB;DDIT3,Ma9ddf8f5a0b5,/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_42c3c521f936,,R1,v1,HNSC,HALLMARK_HYPOXIA,down,HALLMARK_HYPOXIA,P4HA2;HAS1;HSPA5;SRPX;STC1;CSRP2;NDRG1;TPD52;IER3;VHL,Mf4596493a738,/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_53616a95d82a,,R1,v1,HNSC,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,down,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HHEX;PRDX4;PDLIM1;ERCC2;GPX3;STK25;PRNP;NDUFA6;TXNRD1;LAMTOR5,Mf1237f2d6d20,/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_bb0a0bcb10b6,,R1,v1,HNSC,HALLMARK_PANCREAS_BETA_CELLS,up,HALLMARK_PANCREAS_BETA_CELLS,SRP14;ABCC8;PAK3;PDX1;FOXO1;NEUROD1;DCX;HNF1A;SCGN,M3297d664d230,/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
c_3292b112f56f,,R1,v1,HNSC,HALLMARK_DNA_REPAIR,down,HALLMARK_DNA_REPAIR,TARBP2;RFC2;HCLS1;ERCC1;SF3A3;ERCC8;ERCC2;PCNA;ADRM1;EDF1,Mdd3caae7261b,/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
