term_uid	gene_id	weight	gene_term_degree	term_gene_degree
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10010	1.0	2	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10124	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10162	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10243	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1031	1.0	2	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	11176	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	112	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1282	1.0	2	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1349	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1629	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1647	1.0	4	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	2184	1.0	2	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	226	1.0	4	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	2820	1.0	2	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	2878	1.0	3	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	33	1.0	2	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	3421	1.0	2	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	348	1.0	2	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	3977	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4023	1.0	3	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4259	1.0	2	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4698	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4706	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4722	1.0	1	39
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4958	1.0	1	39
