coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.828125	term_survival_agg	status	True	True
0.98	0.98	0.0	0.0	0.0	49.0	0.0	1.0	49.0	50.0	0.859375	term_survival_agg	status	True	True
0.96	0.96	0.0	0.0	0.0	48.0	0.0	2.0	48.0	50.0	0.875	term_survival_agg	status	True	True
0.94	0.94	0.0	0.0	0.0	47.0	0.0	3.0	47.0	50.0	0.890625	term_survival_agg	status	True	True
0.88	0.88	0.0	0.0	0.0	44.0	0.0	6.0	44.0	50.0	0.90625	term_survival_agg	status	True	True
0.8	0.8	0.0	0.0	0.0	40.0	0.0	10.0	40.0	50.0	0.921875	term_survival_agg	status	True	True
0.74	0.74	0.0	0.0	0.0	37.0	0.0	13.0	37.0	50.0	0.9375	term_survival_agg	status	True	True
0.66	0.66	0.0	0.0	0.0	33.0	0.0	17.0	33.0	50.0	0.953125	term_survival_agg	status	True	True
0.48	0.48	0.0	0.0	0.0	24.0	0.0	26.0	24.0	50.0	0.96875	term_survival_agg	status	True	True
0.26	0.26	0.0	0.0	0.0	13.0	0.0	37.0	13.0	50.0	0.984375	term_survival_agg	status	True	True
0.12	0.12	0.0	0.0	0.0	6.0	0.0	44.0	6.0	50.0	1.0	term_survival_agg	status	True	True
