raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source	stress_drop_count
0	HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	fgsea_msigdb_H_entrez	-1.41090798330432	0.907015168648846	down	['9249', '3417', '5244', '3265', '1503', '3291', '5052', '866', '8915', '10005', '291', '7153', '3418', '2071', '5190', '774', '6833', '1733', '847', '1381', '3295']		False		False	False	9249,3417,5244,3265,1503,3291,5052,866,8915,10005,291,7153,3418,2071,5190,774,6833,1733,847,1381,3295	True		qval	True	missing	False	42	True	25	0	0				0	fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	evidence_perturb	True	1047	True	False	1		0.96875	62	64	computed	0.96875	c501e9ddc081	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8713942307692308	0.90625	0.9575940839052252	0.96875	True	ok	off		M19197c5f8090	False	0.96875	1	1	term_survival:min	4
1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	fgsea_msigdb_H_entrez	-1.29505838386837	0.907015168648846	down	['2199', '5654', '5396', '4015', '10979', '4314', '4035', '1009', '8572', '3909', '966', '2919', '7424', '5217', '7168', '5118', '2619', '5159', '1289', '6535', '6444', '1311', '7076', '1281', '6387', '6696', '1282', '2316', '3398', '1314', '6372', '1647', '5329', '3624', '2697', '5817', '8038', '6382', '1004', '6591', '4148', '3725', '5744', '3569', '7052', '333', '4853', '4313', '5270', '6876', '3371', '5351']		False		False	False	2199,5654,5396,4015,10979,4314,4035,1009,8572,3909,966,2919,7424,5217,7168,5118,2619,5159,1289,6535,6444,1311,7076,1281,6387,6696,1282,2316,3398,1314,6372,1647,5329,3624,2697,5817,8038,6382,1004,6591,4148,3725,5744,3569,7052,333,4853,4313,5270,6876,3371,5351	True		qval	True	missing	False	42	True	54	0	0				1	fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	evidence_perturb	True	1047	True	False	1		1.0	64	64	computed	1.0	dfacee295e46	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8511513157894737	0.8984375	0.9416737483842719	1.0	True	ok	off		Meb464d685ade	False	0.953125	3	3	term_survival:min	2
2	HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	fgsea_msigdb_H_entrez	-1.45459199085871	0.918635170603675	down	['8454', '5467', '7474', '5664', '6500', '408', '1840', '4854', '4853', '9978']		False		False	False	8454,5467,7474,5664,6500,408,1840,4854,4853,9978	True		qval	True	missing	False	42	True	11	0	0				2	fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING	evidence_perturb	True	1047	True	False	1		0.96875	62	64	computed	0.96875	3cabcd481c54	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.83984375	0.9161931818181819	0.909240845959596	0.96875	True	ok	off		M976c4e27c864	False	0.90625	2	2	term_survival:min	1
3	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	fgsea_msigdb_H_entrez	-1.27201885056929	0.931174089068826	down	['8454', '8313', '5467', '7475', '5664', '10023', '6868', '9794', '1454', '8312', '1499', '9612', '3066']		False		False	False	8454,8313,5467,7475,5664,10023,6868,9794,1454,8312,1499,9612,3066	True		qval	True	missing	False	42	True	14	0	0				3	fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	evidence_perturb	True	1047	True	False	1		0.90625	58	64	computed	0.90625	cd0a836f6680	0.90625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8541666666666667	0.9151785714285714	0.9270957341269843	0.90625	True	ok	off		M976c4e27c864	False	0.90625	2	2	term_survival:min	1
4	HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	fgsea_msigdb_H_entrez	-1.26826793803113	0.931174089068826	down	['4023', '7056', '5553', '6275', '7076', '1281', '6696', '6372', '3764']		False		False	False	4023,7056,5553,6275,7076,1281,6696,6372,3764	True		qval	True	missing	False	42	True	9	0	0				4	fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	evidence_perturb	True	1047	True	False	1		0.9375	60	64	computed	0.9375	ec53f7a52b56	0.9375	0.5625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8993055555555556	0.8993055555555556	1.0	0.9375	True	ok	off		Mbd75ba566ca8	False	0.9375	1	1	term_survival:min	0
5	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	fgsea_msigdb_H_entrez	-1.23366334030526	0.931174089068826	down	['6809', '353', '5429', '2072', '8178', '10289', '5430', '1479', '6119', '2965', '3704', '7936', '1716', '112', '978', '4830', '6895', '4832', '2071']		False		False	False	6809,353,5429,2072,8178,10289,5430,1479,6119,2965,3704,7936,1716,112,978,4830,6895,4832,2071	True		qval	True	missing	False	42	True	21	0	0				5	fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	evidence_perturb	True	1047	True	False	1		0.9375	60	64	computed	0.9375	68e15a12f8e7	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8714488636363636	0.9129464285714286	0.9502091312003271	0.9375	True	ok	off		M76da045fbea9	False	0.9375	1	1	term_survival:min	2
6	HALLMARK_COAGULATION	HALLMARK_COAGULATION	fgsea_msigdb_H_entrez	-1.21166380188003	0.931174089068826	down	['4316', '5654', '7450', '4314', '3158', '4035', '7056', '11098', '1803', '733', '2811', '3273', '5045', '1465', '345', '2160', '732', '1848', '4153', '10747', '1311', '7076', '4320', '824', '301', '4224', '717', '3249', '11202', '2157', '712', '5340', '6284', '2165']		False		False	False	4316,5654,7450,4314,3158,4035,7056,11098,1803,733,2811,3273,5045,1465,345,2160,732,1848,4153,10747,1311,7076,4320,824,301,4224,717,3249,11202,2157,712,5340,6284,2165	True		qval	True	missing	False	42	True	34	0	0				6	fgsea_msigdb_H_entrez:HALLMARK_COAGULATION	evidence_perturb	True	1047	True	False	1		0.96875	62	64	computed	0.96875	5bb4884af874	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8563368055555556	0.9067095588235294	0.9388792416183196	0.96875	True	ok	off		Mfd2cde556cb5	False	0.96875	1	1	term_survival:min	0
7	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	fgsea_msigdb_H_entrez	-1.1524701433108	0.931174089068826	down	['5371', '8828', '8861', '4763', '2735', '1021', '3897', '7088', '5340', '5921', '9620', '5727', '9289', '1271', '2114', '7070', '8633']		False		False	False	5371,8828,8861,4763,2735,1021,3897,7088,5340,5921,9620,5727,9289,1271,2114,7070,8633	True		qval	True	missing	False	42	True	17	0	0				7	fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	evidence_perturb	True	1047	True	False	1		0.953125	61	64	computed	0.953125	2cb52bf58f81	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8637152777777778	0.9145220588235294	0.9392717142946923	0.953125	True	ok	off		Md54144a27bb8	False	0.953125	1	1	term_survival:min	0
8	HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	fgsea_msigdb_H_entrez	1.12099582656726	0.931174089068826	up	['11055', '11144', '4771', '3595', '9489', '7180', '699', '4889', '7137', '11318', '7419', '4291', '7247', '1630', '8852', '1636', '9063', '7141', '1459', '2947', '673', '6888', '9053', '11073', '246', '5037', '10038', '3598']		False		False	False	11055,11144,4771,3595,9489,7180,699,4889,7137,11318,7419,4291,7247,1630,8852,1636,9063,7141,1459,2947,673,6888,9053,11073,246,5037,10038,3598	True		qval	True	missing	False	42	True	28	0	0				8	fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS	evidence_perturb	True	1047	True	False	1		0.90625	58	64	computed	0.90625	248e547e7433	0.90625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.849676724137931	0.8800223214285714	0.9608464635229768	0.90625	True	ok	off		Ma71c2c47f665	False	0.90625	1	1	term_survival:min	0
9	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	fgsea_msigdb_H_entrez	-1.10231465076147	0.931174089068826	down	['2935', '1503', '9221', '1031', '1164', '1029', '5511', '6119', '9126', '9212', '5395', '6426', '1019', '10051', '3149', '3161', '5889', '9183', '3609', '6241', '7153', '7037', '9837', '4830', '5425', '3159', '7913', '4361', '6839', '9972', '10733', '5901']		False		False	False	2935,1503,9221,1031,1164,1029,5511,6119,9126,9212,5395,6426,1019,10051,3149,3161,5889,9183,3609,6241,7153,7037,9837,4830,5425,3159,7913,4361,6839,9972,10733,5901	True		qval	True	missing	False	42	True	32	0	0				9	fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	evidence_perturb	True	1047	True	False	1		0.953125	61	64	computed	0.953125	32673502ab5a	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8373161764705882	0.8896484375	0.9341685837652047	0.953125	True	ok	off		Mbf403e4349a9	False	0.90625	4	4	term_survival:min	0
