benchmark_id	condition	method	variant	gate_mode	tau	coverage_pass	abstain_rate_total	fail_rate_total	fail_rate_answered	n_total	n_pass	n_abstain	n_fail	n_answered	risk_human_reject	risk_human_nonaccept	n_pass_labeled	risk_proxy	_src
	BRCA	ours	context_swap	hard	0.2	0.32	0.68	0.0	0.0	50.0	16.0	34.0	0.0	16.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/context_swap/gate_hard/tau_0.20/audit_log.tsv
	BRCA	ours	context_swap	hard	0.4	0.32	0.68	0.0	0.0	50.0	16.0	34.0	0.0	16.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/context_swap/gate_hard/tau_0.40/audit_log.tsv
	BRCA	ours	context_swap	hard	0.6	0.32	0.68	0.0	0.0	50.0	16.0	34.0	0.0	16.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/context_swap/gate_hard/tau_0.60/audit_log.tsv
	BRCA	ours	context_swap	hard	0.8	0.32	0.68	0.0	0.0	50.0	16.0	34.0	0.0	16.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/context_swap/gate_hard/tau_0.80/audit_log.tsv
	BRCA	ours	context_swap	hard	0.9	0.28	0.72	0.0	0.0	50.0	14.0	36.0	0.0	14.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/context_swap/gate_hard/tau_0.90/audit_log.tsv
	BRCA	ours	ours	hard	0.2	0.78	0.22	0.0	0.0	50.0	39.0	11.0	0.0	39.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
	BRCA	ours	ours	hard	0.4	0.78	0.22	0.0	0.0	50.0	39.0	11.0	0.0	39.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.40/audit_log.tsv
	BRCA	ours	ours	hard	0.6	0.78	0.22	0.0	0.0	50.0	39.0	11.0	0.0	39.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.60/audit_log.tsv
	BRCA	ours	ours	hard	0.8	0.76	0.24	0.0	0.0	50.0	38.0	12.0	0.0	38.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.80/audit_log.tsv
	BRCA	ours	ours	hard	0.9	0.66	0.34	0.0	0.0	50.0	33.0	17.0	0.0	33.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.90/audit_log.tsv
	BRCA	ours	stress	hard	0.2	0.26	0.74	0.0	0.0	50.0	13.0	37.0	0.0	13.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/stress/gate_hard/tau_0.20/audit_log.tsv
	BRCA	ours	stress	hard	0.4	0.26	0.74	0.0	0.0	50.0	13.0	37.0	0.0	13.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/stress/gate_hard/tau_0.40/audit_log.tsv
	BRCA	ours	stress	hard	0.6	0.26	0.74	0.0	0.0	50.0	13.0	37.0	0.0	13.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/stress/gate_hard/tau_0.60/audit_log.tsv
	BRCA	ours	stress	hard	0.8	0.24	0.76	0.0	0.0	50.0	12.0	38.0	0.0	12.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/stress/gate_hard/tau_0.80/audit_log.tsv
	BRCA	ours	stress	hard	0.9	0.2	0.8	0.0	0.0	50.0	10.0	40.0	0.0	10.0			0.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/stress/gate_hard/tau_0.90/audit_log.tsv
	HNSC	ours	context_swap	hard	0.2	0.28	0.72	0.0	0.0	50.0	14.0	36.0	0.0	14.0	0.1428571428571428	0.2142857142857142	14.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.20/audit_log.tsv
	HNSC	ours	context_swap	hard	0.4	0.28	0.72	0.0	0.0	50.0	14.0	36.0	0.0	14.0	0.1428571428571428	0.2142857142857142	14.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.40/audit_log.tsv
	HNSC	ours	context_swap	hard	0.6	0.28	0.72	0.0	0.0	50.0	14.0	36.0	0.0	14.0	0.1428571428571428	0.2142857142857142	14.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.60/audit_log.tsv
	HNSC	ours	context_swap	hard	0.8	0.26	0.74	0.0	0.0	50.0	13.0	37.0	0.0	13.0	0.1538461538461538	0.2307692307692307	13.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.80/audit_log.tsv
	HNSC	ours	context_swap	hard	0.9	0.24	0.76	0.0	0.0	50.0	12.0	38.0	0.0	12.0	0.1666666666666666	0.25	12.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/context_swap/gate_hard/tau_0.90/audit_log.tsv
	HNSC	ours	ours	hard	0.2	0.78	0.22	0.0	0.0	50.0	39.0	11.0	0.0	39.0	0.2307692307692307	0.2564102564102564	39.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.20/audit_log.tsv
	HNSC	ours	ours	hard	0.4	0.78	0.22	0.0	0.0	50.0	39.0	11.0	0.0	39.0	0.2307692307692307	0.2564102564102564	39.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.40/audit_log.tsv
	HNSC	ours	ours	hard	0.6	0.78	0.22	0.0	0.0	50.0	39.0	11.0	0.0	39.0	0.2307692307692307	0.2564102564102564	39.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.60/audit_log.tsv
	HNSC	ours	ours	hard	0.8	0.68	0.32	0.0	0.0	50.0	34.0	16.0	0.0	34.0	0.2352941176470588	0.2647058823529412	34.0	0.0	/work/paper/source_data/PANCAN_TP53_v1/out/HNSC/ours/gate_hard/tau_0.80/audit_log.tsv
