raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source	stress_drop_count
0	HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	fgsea_msigdb_H_entrez	-1.34187920824595	0.672556730941534	down	['5347', '2805', '440', '7436', '10652', '2745', '5163', '10989', '6533', '2932', '928', '5693', '5704', '900', '6472', '1595', '2023', '3145', '6917', '516', '7037', '9521', '3336', '2542', '4173', '3329', '205', '3475', '10797', '31', '4793', '10963', '5641', '4836', '3309', '586', '10197', '4074', '2539', '6509', '2965', '7277', '2936', '1718', '3992', '3251', '6515', '3949', '5723', '4199', '5352', '2597', '10212', '8615', '7283', '8833']		False		False	False	5347,2805,440,7436,10652,2745,5163,10989,6533,2932,928,5693,5704,900,6472,1595,2023,3145,6917,516,7037,9521,3336,2542,4173,3329,205,3475,10797,31,4793,10963,5641,4836,3309,586,10197,4074,2539,6509,2965,7277,2936,1718,3992,3251,6515,3949,5723,4199,5352,2597,10212,8615,7283,8833	True		qval	True	missing	False	42	True	61	0	0	fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	evidence_perturb	True	1055	True	False	1		0.984375	63	64	computed	0.984375	1b2c240fe339	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.855712890625	0.897797131147541	0.9479993304298189	0.984375	True	ok	off		Mbe0eef0dd551	False	0.984375	1	1	term_survival:min	5
1	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	fgsea_msigdb_H_entrez	-1.31318853472156	0.787014264633547	down	['5921', '3897', '7090', '7436', '4897']		False		False	False	5921,3897,7090,7436,4897	True		qval	True	missing	False	42	True	5	0	1	fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	evidence_perturb	True	1055	True	False	1		0.9375	60	64	computed	0.9375	e6f54130c425	0.9375	0.34375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9156249999999999	0.9156249999999999	1.0	0.9375	True	ok	off		M29531a604a19	False	0.9375	1	1	term_survival:min	0
2	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	fgsea_msigdb_H_entrez	-1.30768268746932	0.787014264633547	down	['5347', '11335', '6573', '6723', '10244', '3336', '4173', '3329', '4609', '5245']		False		False	False	5347,11335,6573,6723,10244,3336,4173,3329,4609,5245	True		qval	True	missing	False	42	True	11	0	2	fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	evidence_perturb	True	1055	True	False	1		0.890625	57	64	computed	0.890625	49cd27df2eda	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8072916666666667	0.8806818181818182	0.9054253472222222	0.890625	True	ok	off		M439ffc87f0d8	False	0.890625	1	1	term_survival:min	1
3	HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	fgsea_msigdb_H_entrez	1.28009571706241	0.787014264633547	up	['351', '4118', '357', '5314', '2619', '8406', '11126', '102', '5329', '9696', '1946', '7070']		False		False	False	351,4118,357,5314,2619,8406,11126,102,5329,9696,1946,7070	True		qval	True	missing	False	42	True	13	0	3	fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	evidence_perturb	True	1055	True	False	1		0.921875	59	64	computed	0.921875	7c2adc4b4244	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8392857142857143	0.9038461538461537	0.9209123341935843	0.921875	True	ok	off		M21eae6a2d885	False	0.921875	1	1	term_survival:min	1
4	HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	fgsea_msigdb_H_entrez	1.26438135616951	0.787014264633547	up	['8321', '8324', '7474', '595', '7855', '10402', '9978', '408', '2648']		False		False	False	8321,8324,7474,595,7855,10402,9978,408,2648	True		qval	True	missing	False	42	True	9	0	4	fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING	evidence_perturb	True	1055	True	False	1		0.765625	49	64	computed	0.765625	0db4a35d0586	0.765625	0.625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8940972222222223	0.8940972222222223	1.0	0.765625	True	ok	off		M58919e249434	False	0.765625	1	1	term_survival:min	0
5	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	fgsea_msigdb_H_entrez	-1.20687041880782	0.787014264633547	down	['3065', '4053', '3460', '6574', '7046', '2280', '7050', '6711', '2339', '90', '1499', '1025', '9241']		False		False	False	3065,4053,3460,6574,7046,2280,7050,6711,2339,90,1499,1025,9241	True		qval	True	missing	False	42	True	14	0	5	fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	evidence_perturb	True	1055	True	False	1		0.8125	52	64	computed	0.8125	108d013d2b3e	0.8125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8343750000000001	0.8939732142857143	0.9254708832833834	0.8125	True	ok	off		M276be7b20f01	False	0.8125	1	1	term_survival:min	1
6	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	fgsea_msigdb_H_entrez	-1.1809674408446	0.787014264633547	down	['6256', '7436', '8455', '493', '11343', '2535', '10370', '2202', '10516', '8476', '6310', '8613', '136', '7799', '7035', '8997', '5607', '490', '4609', '3382', '1902', '3815', '390', '861', '2869', '1859', '2697', '7049', '1843', '4790', '2064', '4853', '3778', '2534', '657', '3949', '773', '5293', '4052', '6383', '3480', '11030']		False		False	False	6256,7436,8455,493,11343,2535,10370,2202,10516,8476,6310,8613,136,7799,7035,8997,5607,490,4609,3382,1902,3815,390,861,2869,1859,2697,7049,1843,4790,2064,4853,3778,2534,657,3949,773,5293,4052,6383,3480,11030	True		qval	True	missing	False	42	True	44	0	6	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	evidence_perturb	True	1055	True	False	1		0.984375	63	64	computed	0.984375	9991641a1954	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8712635869565217	0.9108664772727273	0.9523477913459373	0.984375	True	ok	off		M90c0e12ead30	False	0.984375	1	1	term_survival:min	2
7	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	fgsea_msigdb_H_entrez	1.15437081641163	0.787014264633547	up	['5002', '3422', '3417', '847', '866', '10350', '21', '3418', '335', '24', '6647', '10351', '2232', '6579', '9409', '9023', '1582', '1593', '5213', '5189', '8630', '8435', '2030', '1581', '8412', '2730']		False		False	False	5002,3422,3417,847,866,10350,21,3418,335,24,6647,10351,2232,6579,9409,9023,1582,1593,5213,5189,8630,8435,2030,1581,8412,2730	True		qval	True	missing	False	42	True	26	0	7	fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	evidence_perturb	True	1055	True	False	1		0.96875	62	64	computed	0.96875	f35dbae89767	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8732638888888888	0.9068509615384616	0.9591522565095935	0.96875	True	ok	off		M22f9460c7d50	False	0.9375	2	2	term_survival:min	0
8	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	fgsea_msigdb_H_entrez	1.14815086856259	0.787014264633547	up	['8312', '9612', '8321', '8650', '5727', '10014', '7471', '6868', '2648', '7475', '9794', '3516']		False		False	False	8312,9612,8321,8650,5727,10014,7471,6868,2648,7475,9794,3516	True		qval	True	missing	False	42	True	12	0	8	fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	evidence_perturb	True	1055	True	False	1		0.875	56	64	computed	0.875	f8957e358a56	0.875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8365384615384616	0.90625	0.9147234709734711	0.875	True	ok	off		Me644b590b574	False	0.875	1	1	term_survival:min	0
9	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	fgsea_msigdb_H_entrez	-1.14488849039815	0.787014264633547	down	['10581', '3627', '10561', '8638', '10379', '7726', '684', '9111', '9034', '2766', '3107', '6402', '8767', '3959', '1997', '4061', '9636', '11054']		False		False	False	10581,3627,10561,8638,10379,7726,684,9111,9034,2766,3107,6402,8767,3959,1997,4061,9636,11054	True		qval	True	missing	False	42	True	18	0	9	fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE	evidence_perturb	True	1055	True	False	1		0.90625	58	64	computed	0.90625	2fe4d57eab50	0.90625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.856907894736842	0.904513888888889	0.9418201888759892	0.90625	True	ok	off		M9e70b43fed1e	False	0.90625	1	1	term_survival:min	0
10	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	fgsea_msigdb_H_entrez	1.13065008218056	0.787014264633547	up	['3576', '2014', '6717', '6347', '3606', '7439', '1604', '5732', '3593', '3383', '623', '8877', '3601', '3553', '3454', '3575', '6870', '4891', '8809', '10242', '3604', '5970', '196', '3586', '2719', '5739', '6373', '6401', '3600', '7855', '6869', '3091', '7076', '5329', '10203', '3759', '2867', '9153', '2769']		False		False	False	3576,2014,6717,6347,3606,7439,1604,5732,3593,3383,623,8877,3601,3553,3454,3575,6870,4891,8809,10242,3604,5970,196,3586,2719,5739,6373,6401,3600,7855,6869,3091,7076,5329,10203,3759,2867,9153,2769	True		qval	True	missing	False	42	True	39	0	10	fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE	evidence_perturb	True	1055	True	False	1		0.984375	63	64	computed	0.984375	dbdd70965eef	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8574695121951219	0.9014423076923077	0.946038569789664	0.984375	True	ok	off		M8bbaf9d29d29	False	0.890625	8	8	term_survival:min	0
