term_id	term_name	source	stat	qval	direction	evidence_genes	q_kind	pval	term_id_h
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	fgsea_demo	1.27828184428733	0.714840714840715	up	3429;3431;3660;3659;7318;3669;6890;11274;9111;3959;834;684;3430;9636;10379;3665;567;9034;6737;10410;5721;6402;9246	padj	0.0886792452830189	dba813f50b0a
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	fgsea_demo	-1.24528331979564	0.714840714840715	down	2946;10654;2194;7108;5329;3157;2222;1891;4598;4597;2990;9415;928;5359;71;3156;10957	padj	0.136659436008677	8e0d868f2373
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	fgsea_demo	-1.21842976951219	0.714840714840715	down	1907;2309;8974;680;6478;7422;1027;5066;2203;3725;6513;4015;2548;5236;5329;3036;3569;6095;5292;9957;9215;2023;5260;2353;1356;7128;7167;5209;5155;3486;3073;6533;5507;1028	padj	0.0861244019138756	6a49385a5e05
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	fgsea_demo	1.19994318012257	0.714840714840715	up	613;9411;9055;6709;3799;5347;4296;996;6780;3831;6711;274;1778;11190;4926;7277;2017;7840;4853;1894;4763;2934;9732;5829;9133;9564;6453;4983	padj	0.120274914089347	25ebf9016484
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	fgsea_demo	1.18636772425552	0.714840714840715	up	5580;2159;3717;3660;11216;3659;6283;2885;1604;1378;4057;760;1514;1191;5550;1380;8851;5531;7941;3937;834;2811;3303;462;5641;9732;5216;1519;712;1520;1512;308;3003;3665;2147;717;5265;2919;978;2152;2820;475;1847;3309;4179	padj	0.118965517241379	49ef2b5dae8b
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	fgsea_demo	-1.18340330968987	0.714840714840715	down	5817;2006;7422;3725;4015;333;5329;4907;3569;3678;2200;2201;627;5118;2335;4616;4148;3685;1281;649;1311;4256;10085;11010;7128;1296;3486;3624;8325;7424;5270;10516;59;7057;388;3398;7980;822;3576;10272;6535;2247;7456;5654;1293;4487;7049;1282;3918;6696	padj	0.125	73baaa633036
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	fgsea_demo	1.15570713092866	0.714840714840715	up	3429;5142;3431;3717;3660;3659;4502;3669;6890;11274;6775;9111;3959;3937;834;5690;10135;684;3430;5699;7130;4860;1026;9636;355;3663;10875;10379;5743;7903;3106;2841;6403;3665	padj	0.157264957264957	26988b6a5514
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	fgsea_demo	-1.13827535659759	0.747693286668788	down	10970;399;2983;898;6271;8651;333;5269;4907;6095;5292;10075;5167;4616;4839;2879;10888;3459;3685;196;8809;962;7074;5359;3655;1028;10538;3662;5732	padj	0.183374083129584	aa4322fb8ab8
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	fgsea_demo	-1.12411123335968	0.747693286668788	down	3998;2005;9871;3977;7520;11047;11099;3157;3005;8554;8848;1622;3685;354;3856;3156;9455;9053;2982;9510;658	padj	0.209354120267261	6b0035b63117
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	fgsea_demo	1.11215650849174	0.747693286668788	up	7124;3603;3586;5917;3717;3578;925;3111;11222;2213;6890;7163;6367;6775;926;4050;3937;8444;8664;6891;3689;5699;6170;1520;2268;355;6203;920;9450;7903;5551;3665;2147;940;717;6688;8807;7321;6347;567;4689	padj	0.208955223880597	de0bfc6f971a
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	fgsea_demo	-1.08727301999247	0.788255000492659	down	2954;1666;10455;4683;1962;1374;2194;3033;3157;2326;2271;4056;1891;218;3158;2752;3015;765;1429;1376;223;3032;4128;224;912	padj	0.265882352941176	2a92d94d95c4
