claim_id	human_label	rater_id	label_version	cancer	variant	gate_mode	tau	entity	direction	term_name	module_id_effective	gene_symbols_str	term_ids_str	term_survival_agg	context_score	status	abstain_reason	fail_reason	audit_notes	claim_json	_src
c_a1ed09ef8099	ACCEPT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_MYC_TARGETS_V1	up	HALLMARK_MYC_TARGETS_V1	M566064d0c23a	SSB;EIF4A1;PRDX3;RACK1;COPS5;CDK2;DDX21;RPS3;NAP1L1;TXNL4A	'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	1		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_a1ed09ef8099"",""entity"":""HALLMARK_MYC_TARGETS_V1"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M566064d0c23a"",""gene_ids"":[""6741"",""1973"",""10935"",""10399"",""10987"",""1017"",""9188"",""6188"",""4673"",""10907""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1""],""gene_set_hash"":""3a4639522dc0""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_15d4f1d4fdd7	ACCEPT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_PEROXISOME	up	HALLMARK_PEROXISOME	Ma290dde57965	HSD11B2;PEX6;IDI1;ABCD1;ALB;PEX5;HSD17B4;SULT2B1;SMARCC1;CTBP1	'fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_15d4f1d4fdd7"",""entity"":""HALLMARK_PEROXISOME"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""Ma290dde57965"",""gene_ids"":[""3291"",""5190"",""3422"",""215"",""213"",""5830"",""3295"",""6820"",""6599"",""1487""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME""],""gene_set_hash"":""d945b55f67a6""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_770a20fd5911	ACCEPT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_ESTROGEN_RESPONSE_LATE	up	HALLMARK_ESTROGEN_RESPONSE_LATE	M0deb4ee7ddab	WFS1;JAK2;CXCL14;KRT19;TFF1;IGSF1;PKP3;IGFBP4;ISG20;LTF	'fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_770a20fd5911"",""entity"":""HALLMARK_ESTROGEN_RESPONSE_LATE"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M0deb4ee7ddab"",""gene_ids"":[""7466"",""3717"",""9547"",""3880"",""7031"",""3547"",""11187"",""3487"",""3669"",""4057""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE""],""gene_set_hash"":""d075fe40ceb2""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_874dcc9f3b87	ACCEPT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_E2F_TARGETS	down	HALLMARK_E2F_TARGETS	M5e77e1be34be	SSRP1;BRCA2;GSPT1;NBN;TIMELESS;CCNE1;PMS2;CDKN1B;MLH1;CSE1L	'fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_874dcc9f3b87"",""entity"":""HALLMARK_E2F_TARGETS"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M5e77e1be34be"",""gene_ids"":[""6749"",""675"",""2935"",""4683"",""8914"",""898"",""5395"",""1027"",""4292"",""1434""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS""],""gene_set_hash"":""d2f9c8eb9daa""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_01e3dc44b42a	REJECT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_COMPLEMENT	up	HALLMARK_COMPLEMENT	M9376d06231d2	PRKCD;F10;JAK2;IRF2;AKAP10;IRF1;S100A12;GRB2;CD55;CR1	'fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_01e3dc44b42a"",""entity"":""HALLMARK_COMPLEMENT"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M9376d06231d2"",""gene_ids"":[""5580"",""2159"",""3717"",""3660"",""11216"",""3659"",""6283"",""2885"",""1604"",""1378""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT""],""gene_set_hash"":""69eaef0ee110""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_962c8c867a2e	REJECT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_ALLOGRAFT_REJECTION	up	HALLMARK_ALLOGRAFT_REJECTION	M4943fa93fc80	TNF;IL16;IL10;RARS1;JAK2;IL9;CD8A;HLA-DOA;MRPL3;FCGR2B	'fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	0.921875		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_962c8c867a2e"",""entity"":""HALLMARK_ALLOGRAFT_REJECTION"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M4943fa93fc80"",""gene_ids"":[""7124"",""3603"",""3586"",""5917"",""3717"",""3578"",""925"",""3111"",""11222"",""2213""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION""],""gene_set_hash"":""f13f47c0d1be""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_e979ca58b56d	SHOULD_ABSTAIN	R1	v1	BRCA	ours	hard	0.2	HALLMARK_XENOBIOTIC_METABOLISM	up	HALLMARK_XENOBIOTIC_METABOLISM	M974aa022205f	F10;HSD11B1;CDO1;ABCC3;MT2A;IGFBP4;CA2;SLC22A1;ACO2;TNFRSF1A	'fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_e979ca58b56d"",""entity"":""HALLMARK_XENOBIOTIC_METABOLISM"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M974aa022205f"",""gene_ids"":[""2159"",""3290"",""1036"",""8714"",""4502"",""3487"",""760"",""6580"",""50"",""7132""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM""],""gene_set_hash"":""9bb909b631f8""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_06d18bf04017	SHOULD_ABSTAIN	R1	v1	BRCA	ours	hard	0.2	HALLMARK_KRAS_SIGNALING_UP	up	HALLMARK_KRAS_SIGNALING_UP	M27c21ad3e788	GNG11;GALNT3;HSD11B1;MPZL2;ST6GAL1;ADAM8;ITGBL1;SNAP25;AKT2;CA2	'fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_06d18bf04017"",""entity"":""HALLMARK_KRAS_SIGNALING_UP"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M27c21ad3e788"",""gene_ids"":[""2791"",""2591"",""3290"",""10205"",""6480"",""101"",""9358"",""6616"",""208"",""760""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP""],""gene_set_hash"":""d6d7115b2b2a""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_d5b2e42e3950	ACCEPT	R1	v1	BRCA	ours	hard	0.2	HALLMARK_MTORC1_SIGNALING	up	HALLMARK_MTORC1_SIGNALING	M7d4455b21117	RPN1;COPS5;IMMT;BTG2;PSMC4;PLK1;IDI1;PSMA4;GCLC;PPA1	'fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_d5b2e42e3950"",""entity"":""HALLMARK_MTORC1_SIGNALING"",""direction"":""up"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M7d4455b21117"",""gene_ids"":[""6184"",""10987"",""10989"",""7832"",""5704"",""5347"",""3422"",""5685"",""2729"",""5464""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING""],""gene_set_hash"":""27a4fba46f80""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
c_1fd3e4a60beb	SHOULD_ABSTAIN	R1	v1	BRCA	ours	hard	0.2	HALLMARK_KRAS_SIGNALING_DN	down	HALLMARK_KRAS_SIGNALING_DN	M8dd087f86a23	SNN;PTPRJ;EDN2;IL12B;EGF;EDN1;ARPP21;PRODH;EDAR;KLK8	'fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	0.984375		PASS			context_missing(hard): context_evaluated=False	"{""claim_id"":""c_1fd3e4a60beb"",""entity"":""HALLMARK_KRAS_SIGNALING_DN"",""direction"":""down"",""context_keys"":[""disease"",""tissue"",""perturbation"",""comparison""],""evidence_ref"":{""module_id"":""M8dd087f86a23"",""gene_ids"":[""8303"",""5795"",""1907"",""3593"",""1950"",""1906"",""10777"",""5625"",""10913"",""11202""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN""],""gene_set_hash"":""7e903b353eb4""}}"	/work/paper/source_data/PANCAN_TP53_v1/out/BRCA/ours/gate_hard/tau_0.20/audit_log.tsv
