claim_id,decision,module_id,term_uid,term_id,term_name,direction,direction_source,stability,context_fit,evidence_strength,score_source,_join,term_label,evidence_strength_filled,utility_score,rank_global,module_utility_sum,module_rank,rank_in_module
c_9138ae157df8,PASS,M10c94544e295,fgsea_msigdb_H_ensembl:HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,up,audit,1,0.889489404,32.91784143,#NAME?,HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT: HALLMARK_G2M_CHECKPOINT,32.91784143,29.28007116,1,33.54125657,1,1
c_276bff6c74a2,PASS,Mba84b3e143b8,fgsea_msigdb_H_ensembl:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,up,audit,1,0.828810772,11.95947474,#NAME?,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION: HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,11.95947474,9.912141493,2,9.912141493,3,1
c_71ea86f16dad,PASS,Mde72f4c687b5,fgsea_msigdb_H_ensembl:HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,up,audit,1,0.746478612,7.004576634,#NAME?,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION: HALLMARK_APICAL_JUNCTION,7.004576634,5.228766647,3,5.228766647,6,1
c_8e844e5106a2,PASS,M9c70cf032c39,fgsea_msigdb_H_ensembl:HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,up,audit,1,0.373973082,12.34547875,#NAME?,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE: HALLMARK_ESTROGEN_RESPONSE_LATE,12.34547875,4.616876739,4,6.9947954,4,1
c_cae0e751e647,PASS,M1f4f65ddbd4a,fgsea_msigdb_H_ensembl:HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,up,audit,1,0.603191215,7.342650984,#NAME?,HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING: HALLMARK_MTORC1_SIGNALING,7.342650984,4.429022572,5,5.556743004,5,1
c_364d36e8d358,PASS,M5ad8c232ffd3,fgsea_msigdb_H_ensembl:HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,up,audit,1,0.562079235,7.433531749,#NAME?,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE: HALLMARK_INFLAMMATORY_RESPONSE,7.433531749,4.178233843,6,10.11294952,2,1
c_5df91a39807a,PASS,Mbabc22af87c9,fgsea_msigdb_H_ensembl:HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,up,audit,0.984375,0.73430939,5.705742676,#NAME?,HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS: HALLMARK_SPERMATOGENESIS,5.705742676,4.124315103,7,4.124315103,7,1
c_450cdc5cd834,PASS,M5ad8c232ffd3,fgsea_msigdb_H_ensembl:HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,up,audit,1,0.756825568,4.983464959,#NAME?,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB: HALLMARK_TNFA_SIGNALING_VIA_NFKB,4.983464959,3.771613699,8,10.11294952,2,2
c_e2911daa664d,PASS,M4958bde29b6c,fgsea_msigdb_H_ensembl:HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,up,audit,0.984375,0.784544228,4.774705918,#NAME?,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP: HALLMARK_UV_RESPONSE_UP,4.774705918,3.687437217,9,3.687437217,8,1
c_e71b46ad58e7,PASS,M109e585f24ff,fgsea_msigdb_H_ensembl:HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,down,audit,1,0.386836807,9.154344065,#NAME?,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION: HALLMARK_OXIDATIVE_PHOSPHORYLATION,9.154344065,3.54123723,10,3.54123723,9,1
