term_id	term_name	source	stat	qval	direction	evidence_genes	group_id	invalid_reason	is_summary	is_valid	pval	pval_provided	pval_source	qval_provided	qval_source	term_id_salvaged	term_name_salvaged
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.79808166809708	0.443913817398753	down	2950;2948;405;4258;2946;2947;2949;1545;1543;2941			False	True		False	missing	True	qval	False	False
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.7611376869557	0.443913817398753	down	2950;2948;4258;2946;2947;2949			False	True		False	missing	True	qval	False	False
KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.72746389092895	0.443913817398753	up	10681;3579;2787;2785;2790;3845;3576;2782;2788			False	True		False	missing	True	qval	False	False
KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.70713272094466	0.443913817398753	down	3695;7414;3680;87;3673;5829;3679;3611;2335;8516;5747;3688;3672			False	True		False	missing	True	qval	False	False
KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.55693945889673	0.443913817398753	down	887;5724;3356;148;146;3709;3269;6915;886;10800;5332;1909;185;2149;6865			False	True		False	missing	True	qval	False	False
KEGG_MEDICUS_REFERENCE_LPAR_GNB_G_RHO_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_LPAR_GNB_G_RHO_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.68055164630904	0.501060471345137	up	10681;2846;2787;2785;2790			False	True		False	missing	True	qval	False	False
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_ERK_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.60962821224643	0.501060471345137	down	673;5336;1950;5335;5578;369;5604;5605;5582;5579			False	True		False	missing	True	qval	False	False
KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.59454238730766	0.501060471345137	down	1642;1643;4331;7508;1069			False	True		False	missing	True	qval	False	False
KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	1.58625039346421	0.501060471345137	up	10681;3579;2787;2785;2790;3576;2782;2788;208			False	True		False	missing	True	qval	False	False
KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez	-1.54713630776816	0.501060471345137	down	2950;2948;4258;2946;3162;2947;2949			False	True		False	missing	True	qval	False	False
